order_no,item_name,order_time
007D23010700007554,TAHU ,1/7/2023 11:59
007D23010700007555,KOPI ,1/7/2023 12:52
007D23010700007555,Lychee Tea ,1/7/2023 12:52
007D23010700007556,KOPI ,1/7/2023 14:09
007D23010700007556,KOPI ,1/7/2023 14:09
007D23010700007556,KOPI ,1/7/2023 14:09
007D23010700007557,KOPI ,1/7/2023 14:47
007D23010700007558,KOPI ,1/7/2023 15:26
007D23010700007558,KOPI ,1/7/2023 15:26
007D23010700007558,SINGKONG KEJU ,1/7/2023 15:26
007D23010700007559,KOPI ,1/7/2023 15:53
007D23010700007560,JERUK ,1/7/2023 15:56
007D23010700007560,ROTI BAKAR ,1/7/2023 15:56
007D23010700007561,Aroma Mile 16,1/7/2023 16:21
007D23010700007562,KOPI ,1/7/2023 16:33
007D23010700007563,ICI OCHA ,1/7/2023 16:35
007D23010700007563,NUGGET ,1/7/2023 16:35
007D23010700007563,ROTI BAKAR ,1/7/2023 16:35
007D23010700007563,KOPI ,1/7/2023 16:35
007D23010700007564,KOPI ,1/7/2023 16:38
007D23010700007565,KOPI ,1/7/2023 16:41
007D23010700007566,62 ( noms snack 2000 ),1/7/2023 16:43
007D23010700007567,KOPI ,1/7/2023 16:44
007D23010700007568,KOPI ,1/7/2023 16:44
007D23010700007569,KOPI ,1/7/2023 16:45
007D23010700007569,AIR MINERAL RON 88,1/7/2023 16:45
007D23010700007570,KOPI ,1/7/2023 16:46
007D23010700007571,KOPI ,1/7/2023 16:46
007D23010700007572,KOPI ,1/7/2023 16:46
007D23010700007573,62 ( noms snack 2000 ),1/7/2023 16:47
007D23010700007574,AIR MINERAL RON 88,1/7/2023 17:00
007D23010700007574,KOPI ,1/7/2023 17:00
007D23010700007575,KOPI ,1/7/2023 17:02
007D23010700007576,KOPI ,1/7/2023 17:25
007D23010700007576,TEH ,1/7/2023 17:25
007D23010700007576,New Red Velvet ,1/7/2023 17:25
007D23010700007576,Cappucino Latte ,1/7/2023 17:25
007D23010700007576,AIR MINERAL RON 88,1/7/2023 17:25
007D23010700007576,MIE AYAM POLOS ,1/7/2023 17:25
007D23010700007577,KOPI ,1/7/2023 17:48
007D23010700007577,SINGKONG KEJU ,1/7/2023 17:48
007D23010700007578,JAHE ,1/7/2023 17:55
007D23010700007578,MIE AYAM PANGSIT MIX ,1/7/2023 17:55
007D23010700007578,AIR MINERAL RON 88,1/7/2023 17:55
007D23010700007579,MIE AYAM PANGSIT GORENG ,1/7/2023 18:08
007D23010700007579,AIR MINERAL RON 88,1/7/2023 18:08
007D23010700007580,MIE AYAM PANGSIT GORENG ,1/7/2023 18:13
007D23010700007580,AIR MINERAL RON 88,1/7/2023 18:13
007D23010700007581,KOPI ,1/7/2023 18:14
007D23010700007582,Ready Eat ,1/7/2023 18:38
007D23010700007582,JAHE ,1/7/2023 18:38
