order no,item name,,order time,item group,qty
007D23010400007462,KOPI ,,1/4/2023 23:06,KLOTOK SERIES,1
007D23010400007463,CIRENG ,,1/4/2023 23:31,SNACK,1
007D23010500007464,KOPI ,,1/5/2023 0:08,KLOTOK SERIES,4
007D23010500007464,TAHU , BAKSO ,1/5/2023 0:08,MAKANAN,1
007D23010500007464,KENTANG ,,1/5/2023 0:08,SNACK,1
007D23010500007465,SUSU PUTIH ,,1/5/2023 0:14,MINUMAN,1
007D23010500007465,KOPI , SUSU ,1/5/2023 0:14,KLOTOK SERIES,2
007D23010500007465,KENTANG ,,1/5/2023 0:14,SNACK,1
007D23010500007465,TAHU , WALIK ,1/5/2023 0:14,SNACK,1
007D23010500007465,PANGSIT GORENG ,,1/5/2023 0:14,SNACK,1
007D23010500007466,Royal Chocolate ,,1/5/2023 0:35,TROPICAL SERIES,1
007D23010500007466,KOPI , SUSU ,1/5/2023 0:35,KLOTOK SERIES,1
007D23010500007467,KOPI , SUSU ,1/5/2023 7:09,KLOTOK SERIES,1
007D23010500007467,PISANG GORENG CRISPY ,,1/5/2023 7:09,SNACK,1
007D23010500007468,KOPI , TANPA AMPAS ,1/5/2023 7:16,KLOTOK SERIES,1
007D23010500007469,KOPI , TANPA AMPAS ,1/5/2023 8:09,KLOTOK SERIES,1
007D23010500007469,KOPI ,,1/5/2023 8:09,KLOTOK SERIES,1
007D23010500007469,TAHU , WALIK ,1/5/2023 8:09,SNACK,1
007D23010500007469,Bolu kukus,,1/5/2023 8:09,SNACK,1
007D23010500007470,KOPI , SUSU ,1/5/2023 10:19,KLOTOK SERIES,1
007D23010500007470,KOPI , TANPA AMPAS ,1/5/2023 10:19,KLOTOK SERIES,1
007D23010500007471,KOPI ,,1/5/2023 11:24,KLOTOK SERIES,1
007D23010500007472,Chocolate Malt ,,1/5/2023 11:42,TROPICAL SERIES,1
007D23010500007472,TAHU , BAKSO ,1/5/2023 11:42,MAKANAN,1
007D23010500007473,KOPI , TANPA AMPAS ,1/5/2023 12:23,KLOTOK SERIES,1
007D23010500007473,Taro ,,1/5/2023 12:23,TROPICAL SERIES,1
007D23010500007473,KENTANG ,,1/5/2023 12:23,SNACK,2
007D23010500007474,KOPI ,,1/5/2023 12:24,KLOTOK SERIES,1
007D23010500007475,62 ( noms snack 2000 ),,1/5/2023 12:29,SNACK,2
007D23010500007476,KOPI , TANPA AMPAS ,1/5/2023 12:56,KLOTOK SERIES,1
007D23010500007477,TEH ,,1/5/2023 13:05,MINUMAN,2
007D23010500007478,Matcha latte ,,1/5/2023 13:37,TROPICAL SERIES,1
007D23010500007478,PISANG GORENG CRISPY ,,1/5/2023 13:37,SNACK,1
007D23010500007479,KOPI ,,1/5/2023 13:38,KLOTOK SERIES,1
007D23010500007480,KOPI ,,1/5/2023 14:26,KLOTOK SERIES,1
007D23010500007480,KACANG BAWANG,,1/5/2023 14:26,SNACK,2
007D23010500007481,KOPI , CREAMER ,1/5/2023 14:57,KLOTOK SERIES,1
007D23010500007481,PISANG GORENG CRISPY ,,1/5/2023 14:57,SNACK,1
007D23010500007482,KOPI , SUSU ,1/5/2023 15:00,KLOTOK SERIES,1
007D23010500007483,KOPI ,,1/5/2023 16:05,KLOTOK SERIES,2
007D23010500007483,TEH ,,1/5/2023 16:05,MINUMAN,1
007D23010500007483,SINGKONG KEJU ,,1/5/2023 16:05,SNACK,1
007D23010500007483,SINGKONG KEJU ,,1/5/2023 16:05,SNACK,1
007D23010500007483,TAHU , WALIK ,1/5/2023 16:05,SNACK,1
007D23010500007483,KACANG BAWANG,,1/5/2023 16:05,SNACK,2
007D23010500007484,KOPI ,,1/5/2023 17:06,KLOTOK SERIES,1
007D23010500007485,TEH ,,1/5/2023 17:26,MINUMAN,3
